date,location,new_cases,new_deaths,total_cases,total_deaths
1/18/2020,China,,,278,6
1/19/2020,China,,,278,6
1/19/2020,Thailand,,,1,
1/20/2020,China,,,278,6
1/20/2020,Thailand,,,1,
1/20/2020,Japan,,,1,
1/21/2020,China,,,278,6
1/21/2020,Japan,,,1,
1/21/2020,Thailand,,,1,
1/21/2020,South Korea,,,2,
1/21/2020,World,0,0,282,6
1/22/2020,China,32,0,310,6
1/22/2020,Japan,0,,1,
1/22/2020,South Korea,0,,1,
1/22/2020,Thailand,0,,2,
1/22/2020,World,32,0,314,6
1/23/2020,China,264,11,574,17
1/23/2020,Japan,0,,1,
1/23/2020,South Korea,0,,1,
1/23/2020,Thailand,2,,4,
1/23/2020,United States,,,1,
1/23/2020,World,266,11,581,17
1/24/2020,China,261,8,835,25
1/24/2020,Japan,0,,1,
1/24/2020,South Korea,1,,2,
1/24/2020,Singapore,,,1,
1/24/2020,Thailand,0,,4,
1/24/2020,United States,0,,1,
1/24/2020,Vietnam,,,2,
1/24/2020,World,262,8,846,25
1/25/2020,Australia,,,3,
1/25/2020,China,462,16,1297,41
1/25/2020,France,,,3,
1/25/2020,Japan,2,,3,
1/25/2020,Nepal,,,1,
1/25/2020,South Korea,0,,2,
1/25/2020,Singapore,2,,3,
1/25/2020,Thailand,0,,4,
1/25/2020,United States,1,,2,
1/25/2020,Vietnam,0,,2,
1/25/2020,World,467,16,1320,41
1/26/2020,Australia,1,,4,
1/26/2020,China,688,15,1985,56
1/26/2020,France,0,,3,
1/26/2020,Japan,0,,3,
1/26/2020,Malaysia,,,3,
1/26/2020,Nepal,0,,1,
1/26/2020,South Korea,0,,2,
1/26/2020,Singapore,1,,4,
1/26/2020,Thailand,1,,5,
1/26/2020,United States,0,,2,
1/26/2020,Vietnam,0,,2,
1/26/2020,World,691,15,2014,56
1/27/2020,Australia,0,,4,
1/27/2020,Canada,,,1,
1/27/2020,China,776,24,2761,80
1/27/2020,France,0,,3,
1/27/2020,Japan,1,,4,
1/27/2020,Malaysia,1,,4,
1/27/2020,Nepal,0,,1,
1/27/2020,South Korea,2,,4,
1/27/2020,Singapore,0,,4,
1/27/2020,Thailand,0,,5,
1/27/2020,United States,3,,5,
1/27/2020,Vietnam,0,,2,
1/27/2020,World,783,24,2798,80
1/28/2020,Australia,1,,5,
1/28/2020,Cambodia,,,1,
1/28/2020,Canada,1,,2,
1/28/2020,China,1776,26,4537,106
1/28/2020,France,0,,3,
1/28/2020,Germany,,,1,
1/28/2020,Japan,2,,6,
1/28/2020,Malaysia,0,,4,
1/28/2020,Nepal,0,,1,
1/28/2020,South Korea,0,,4,
1/28/2020,Singapore,3,,7,
1/28/2020,Sri Lanka,,,1,
1/28/2020,Thailand,9,,14,
1/28/2020,United States,0,,5,
1/28/2020,Vietnam,0,,2,
1/28/2020,World,1792,26,4593,106
1/29/2020,Australia,2,,7,
1/29/2020,Cambodia,0,,1,
1/29/2020,Canada,1,,3,
1/29/2020,China,1460,26,5997,132
1/29/2020,France,1,,4,
1/29/2020,Germany,3,,4,
1/29/2020,Japan,1,,7,
1/29/2020,Malaysia,0,,4,
